"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_PR","tsm_coef_PR","tsm_med_chuv_PR","tsm_med_seco_PR","tsm_amp_chuv_PR","tsm_amp_seco_PR","prec_med_PR","prec_coef_PR","prec_med_chuv_PR","prec_med_seco_PR","prec_amp_chuv_PR","prec_amp_seco_PR","c.rosa.recon","c.branco.recon","c.7barbas.recon"
2000,1980.11770234395,0.58949179155989,872,18,799,55,22.7604222297668,11.7645110408683,25.3053021430969,20.9350306193034,1.2721633911133,5.8276100158691,137.491666666667,60.2915678239001,184.048387096774,52.5941176470588,246.4,91.9,9.06529171510546,51.8300105303206,779.912409538495
2001,1982.78523090612,0.554746955881304,1017.5,22.5,914.5,80.5,23.7054662704468,11.5862315743551,27.0531768798828,22.0943695704142,2.1600093841553,5.4361610412597,117.43125,45.9143209883719,149.37,64.2,113.1,81.4,17.8163989344259,87.6994486541632,864.587290780442
2002,1984.61712027069,0.519740900950844,1129.5,25,1015,89.5,23.5971744855245,9.89501153363641,26.0370044708252,22.0704193115234,1.6572170257568,4.7165756225586,143.783333333333,59.5921813322087,190.883333333333,65.2833333333333,343.3,96.9,13.1821176688309,135.28456908929,864.882183372875
2003,1980.5800993827,0.484646305307353,896,12.5,774.5,109,23.2656423250834,12.2135289067936,26.5339488983155,21.474622408549,2.5520915985107,5.2947788238526,137.551111111111,67.0814189232865,202.504166666667,63.3190476190476,319.3,104.2,14.3781530007214,42.8601151547904,998.81951298633
2004,1974.75174840175,0.449636068176264,621,8,536,77,22.6508460044861,9.90435645837134,25.1619257926941,21.2820669809977,0.506736755371101,5.4377117156982,144.93125,63.3095918480766,193.71,63.6333333333333,395.3,85.2,5.93021215673774,56.138629085785,575.197129677044
2005,1977.84288106986,0.414882458019471,760,11,656,93,23.4288132985433,8.74209531554853,25.6451187133789,22.2557306289673,0.558641433715799,4.9320068359375,142.133333333333,60.4776953435408,196.707407407407,71.9666666666667,238.4,71.3,11.9254266514675,124.026685963271,571.932001803305
2006,1977.87462024112,0.380556266097818,761.5,12,657.5,92,23.4592514038086,11.3924978691748,26.5640597343445,21.8249435424805,1.4914245605469,5.4960422515869,110.964583333333,78.0721365832307,196.095,50.1571428571429,240,96.1,16.0790187899429,42.3223270200519,795.969590563883
2007,1976.86370440028,0.346825969195469,714.5,10.5,616.5,87.5,23.3388284047445,12.8617660242184,26.688015460968,21.5637572606405,0.805009841918899,7.2614192962646,131.402083333333,61.8135063821322,180.483333333333,49.6,199.2,105,15.4348378238498,21.0848041833942,707.154153254696
2008,1979.80614072654,0.313856905595594,856.082134418294,0,0,0,22.8027189572652,10.3183599076884,25.438364982605,21.3249104817708,1.7938156127929,4.392822265625,157.664583333333,67.7583191005946,207.774193548387,66.2882352941176,451.9,87.9,7.58473286763607,32.5629011932103,1028.94111658207
2009,1991.61354121331,0.281810468319621,2465.48418107046,0,0,0,23.3327824274699,10.1828755360372,25.437894821167,21.8832976023356,1.3497409820557,5.6007709503174,168.402083333333,58.0553483641483,231.489655172414,72.1105263157895,244.3,91.7,0.000853337637469688,49.4336123384488,1815.09280831116
2010,1986.65302878961,0.250843319543787,1270.77220425702,0,0,0,23.3362978299459,12.8575435308838,26.8413119316101,21.6402568817139,2.0264015197754,6.3494186401368,177.375,61.2699611843152,234.009677419355,74.1,323.9,66.1,8.99424710776257,15.1130819860742,1366.84364192739
2011,1980.2358935195,0.221106629990628,878.091051295588,0,0,0,22.839791615804,12.4538344919612,26.1951317787171,21.1876722971598,1.7657413482666,5.9811878204346,165.86875,65.0015122641737,226.503448275862,73.321052631579,390.7,77.3,8.76357616077569,10.5016191633653,1175.38966055543
