"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_ES","tsm_coef_ES","tsm_med_chuv_ES","tsm_med_seco_ES","tsm_amp_chuv_ES","tsm_amp_seco_ES","prec_med_ES","prec_coef_ES","prec_med_chuv_ES","prec_med_seco_ES","prec_amp_chuv_ES","prec_amp_seco_ES","c.rosa.recon","c.branco.recon","c.7barbas.recon"
2000,1996.52153338293,0.58949179155989,1755,76.5,1636.5,42,26.1463201840719,4.97012047186656,27.3556533813477,25.1492227978177,2.2081489562988,3.1038818359374,151.058333333333,83.6789593457367,224.414285714286,48.36,457.1,74.5,69.4737346953086,36.5194096639161,1574.12770871524
2001,1996.72134943244,0.554746955881304,1768.5,78.5,1646,44,26.4095305866665,5.43216944473373,27.8646287282308,25.4663866890801,1.6484775543213,3.3791904449463,110.068421052632,104.847870448113,207.814285714286,53.05,408.7,73.4013423357732,62.6178332637616,44.1621878492102,1454.20594455873
2002,1975.62757397033,0.519740900950844,640.5,50.5,578,12,26.3653825653924,4.09971690616337,27.4006741841634,25.6583268907335,1.5359001159668,3.0261573791504,107.125,66.8736491080463,160.02,54.23,223.2,77.6327023160849,49.7922491051075,14.4615523624217,576.166088012758
2003,1974.26773089643,0.484646305307353,581,26.5,547.5,7,26.6437013414171,5.33321988827415,28.0605440775553,25.6580106947157,2.1713199615479,3.2146224975586,87.8625,108.21776886383,189.288888888889,27.0066666666667,215.7,53.3,25.1189456482246,19.0042622168127,425.596967750495
2004,1976.59489850681,0.449636068176264,683.5,52,620,11.5,25.955156273312,4.82774522805292,27.2086034138997,25.1356752183702,1.6231708526612,3.3210601806641,142.283333333333,63.9979304141849,187.00625,52.8375,240.7,61.8,36.32764169791,14.6737395407981,624.029767467401
2005,1983.84781772801,0.414882458019471,1026.5,28.5,974.5,23.5,26.2844204902649,4.74096330889869,27.5253197987874,25.4198218451606,1.7584648132324,3.1100425720215,144.35,63.7526974138265,186.229411764706,42.6428571428571,293.4,63.7,50.5615898270631,19.5701157883798,975.234994172391
2006,1977.2621145946,0.380556266097818,713.5,31.5,657,25,25.925804456075,6.40816273022337,27.6328163146973,24.7151165008545,2.4882144927979,3.6263656616211,122.0625,90.9078258050747,264.9125,50.6375,149.3,82.9,23.094614050675,19.4426877038225,605.521441253844
2007,1985.66285124132,0.346825969195469,1119,35,1034.5,49.5,26.0348777770996,5.16889802102688,27.3986929575602,25.0881622102525,1.8854389190674,3.044584274292,83.2375,88.6589589007759,163.9,42.90625,207.3,85.2,57.179393243069,26.78822995284,985.312156946831
2008,1999.17956754027,0.313856905595594,1942.27444142707,0,0,0,25.8893213272095,4.91975837454253,27.1463272094727,24.9776921802097,2.2900924682617,2.8301601409912,123.679166666667,125.336837351911,234.03,44.8571428571429,554.2,76.4,71.0673559173721,55.4056941348731,1475.68962672203
2009,1997.35274883795,0.281810468319621,1811.73855414904,0,0,0,26.3704024950663,4.84309328621227,27.3684480031332,25.276469124688,2.8699779510498,2.2591571807861,115.425,88.692811085893,203.2,41.1538461538462,316.4,83.6,90.6457280780872,39.2796292337876,1559.21648133327
2010,1999.16027841466,0.250843319543787,1940.8501621485,0,0,0,26.3252805603875,6.8820752069333,28.179493077596,25.0141818788316,2.3505210876465,3.9468212127685,98.1391304347826,98.6452558903351,172.990909090909,29.525,279.8,68.6,54.6637377318922,45.3437607683083,1842.01535139494
2011,1999.79974250212,0.221106629990628,1988.63957172826,0,0,0,25.648665216234,6.04675767535634,27.3047196706136,24.7231069140964,1.7220363616943,3.7945556640625,126.1625,83.3763397981721,222.045454545455,45.0307692307692,263.3,74,77.1987311441674,40.2950617051864,1907.95227404547
